Palabras;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
detrás;0;0;0;0;0;0;0;0
ábaco;0;0;0;0;0;0;0;1
abandonar;0;0;0;1;0;1;0;0
abandonado;1;0;0;1;0;1;0;0
abandono;1;0;0;1;0;1;1;0
disminuir;0;0;0;0;0;0;0;0
disminución;0;0;0;0;0;0;0;0
Abba;0;0;0;0;0;0;0;0
abad;0;0;0;0;0;0;0;1
abreviar;0;0;0;0;0;0;0;0
abreviatura;0;0;0;0;0;0;0;0
abdomen;0;0;0;0;0;0;0;0
abdominal;0;0;0;0;0;0;0;0
secuestro;0;0;0;1;0;1;1;0
aberrante;0;0;0;0;0;0;0;0
aberración;0;0;1;0;0;0;0;0
suspensión;0;0;0;0;0;0;0;0
aborrecer;1;0;1;1;0;0;0;0
aborrecible;1;0;1;1;0;0;0;0
acatar;0;0;0;0;0;0;0;0
capacidad;0;0;0;0;0;0;0;0
abyecto;0;0;1;0;0;0;0;0
ablación;0;0;0;0;0;0;0;0
ardiendo;0;0;0;0;0;0;0;0
anormal;0;0;1;0;0;0;0;0
a bordo;0;0;0;0;0;0;0;0
morada;0;0;0;0;0;0;0;0
abolir;1;0;0;0;0;0;0;0
abolición;0;0;0;0;0;0;0;0
abominable;0;0;1;1;0;0;0;0
abominación;1;0;1;1;0;0;0;0
aborigen;0;0;0;0;0;0;0;0
abortar;0;0;0;0;0;0;0;0
aborto;0;0;1;1;0;1;0;0
abortivo;0;0;0;0;0;1;0;0
abundar;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
abrasión;0;0;0;0;0;0;0;0
en el extranjero;0;0;0;0;0;0;0;0
abrogar;0;0;0;0;0;0;0;0
abrupto;0;0;0;0;0;0;1;0
abruptamente;0;0;0;0;0;0;0;0
absceso;0;0;0;0;0;1;0;0
ausencia;0;0;0;1;0;1;0;0
ausente;0;0;0;0;0;1;0;0
ausente;0;0;0;0;0;1;0;0
absentismo;0;0;0;0;0;0;0;0
Ajenjo;0;0;0;0;0;0;0;0
absoluto;0;0;0;0;0;0;0;0
absolución;0;0;0;0;1;0;0;1
absorbido;0;0;0;0;0;0;0;0
absorbente;0;0;0;0;0;0;0;0
absorbente;0;0;0;0;0;0;0;0
absorción;0;0;0;0;0;0;0;0
abstenerse;0;0;0;0;0;0;0;0
abstención;0;0;0;0;0;0;0;0
abstinencia;0;0;0;0;0;0;0;0
abstracto;0;0;0;0;0;0;0;0
abstracción;0;0;0;0;0;0;0;0
absurdo;0;0;0;0;0;0;0;0
absurdo;0;0;0;0;0;0;0;0
abundancia;0;1;1;0;1;0;0;1
abundante;0;0;0;0;1;0;0;0
abuso;1;0;1;1;0;1;0;0
contrafuerte;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
abismal;0;0;0;0;0;1;0;0
abismo;0;0;0;1;0;1;0;0
académico;0;0;0;0;0;0;0;1
academia;0;0;0;0;0;0;0;0
acceder a;0;0;0;0;0;0;0;0
acelerar;0;1;0;0;0;0;0;0
aceleración;0;0;0;0;0;0;0;0
acento;0;0;0;0;0;0;0;0
acentuar;0;0;0;0;0;0;0;0
aceptar;0;0;0;0;0;0;0;0
aceptable;0;0;0;0;0;0;0;0
aceptación;0;0;0;0;0;0;0;0
acceso;0;0;0;0;0;0;0;0
accesible;0;0;0;0;0;0;0;0
adhesión;0;0;0;0;0;0;0;0
accesorio;0;0;0;0;0;0;0;0
accidente;0;0;0;1;0;1;1;0
accidental;0;0;0;1;0;0;1;0
accidentalmente;0;0;0;0;0;0;1;0
espaldarazo;0;1;0;0;1;0;1;1
acomodar;0;0;0;0;0;0;0;0
alojamiento;0;0;0;0;0;0;0;0
acompañamiento;0;1;0;0;1;0;0;1
acompañar;0;0;0;0;0;0;0;0
acompañamiento;0;0;0;0;0;0;0;0
cómplice;0;0;0;0;0;0;0;0
realizar;0;0;0;0;1;0;0;0
consumado;0;0;0;0;1;0;0;0
logro;0;0;0;0;0;0;0;0
acuerdo;0;0;0;0;0;0;0;1
conformidad;0;0;0;0;0;0;0;0
acordeón;0;0;0;0;0;0;0;0
cuenta;0;0;0;0;0;0;0;1
responsabilidad;0;0;0;0;0;0;0;1
explicable;0;0;0;0;0;0;0;1
contador;0;0;0;0;0;0;0;1
contabilidad;0;0;0;0;0;0;0;0
cuentas;0;0;0;0;0;0;0;1
autorizado;0;0;0;0;0;0;0;1
acreción;0;0;0;0;0;0;0;0
acumularse;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
acumular;0;0;0;0;0;0;0;0
acumulación;0;0;0;0;0;0;0;0
exactitud;0;0;0;0;0;0;0;0
preciso;0;0;0;0;0;0;0;1
maldito;1;0;0;1;0;1;0;0
acusación;1;0;1;0;0;0;0;0
acusativo;0;0;0;0;0;0;0;0
acusado;1;0;0;1;0;0;0;0
acusador;1;0;0;1;0;0;0;0
acusando;1;0;0;1;0;0;0;0
acostumbrado;0;0;0;0;0;0;0;0
as;0;0;0;0;0;0;0;0
acético;0;0;0;0;0;0;0;0
dolor;0;0;0;0;0;1;0;0
lograr;0;0;0;0;1;0;0;1
logro;0;1;0;0;1;0;0;1
dolor;0;0;0;0;0;1;0;0
ácido;0;0;0;0;0;0;0;0
acidez;0;0;0;0;0;0;0;0
reconocer;0;0;0;0;0;0;0;0
admitido;0;0;0;0;0;0;0;0
reconocimiento;0;0;0;0;0;0;0;0
cumbre;0;0;0;0;0;0;0;0
acústico;0;0;0;0;0;0;0;0
acústica;0;0;0;0;0;0;0;0
familiarizar;0;0;0;0;0;0;0;0
conocido;0;0;0;0;0;0;0;0
familiarizado;0;0;0;0;0;0;0;0
aquiescencia;0;0;0;0;0;0;0;0
adquirir;0;0;0;0;0;0;0;0
adquisidor;0;1;0;0;0;0;0;0
adquisición;0;0;0;0;0;0;0;0
adquisiciones;0;0;0;0;0;0;0;0
superficie en acres;0;0;0;0;0;0;0;0
hectáreas;0;0;0;0;0;0;0;0
acróbata;0;0;0;1;1;0;0;1
acto;0;0;0;0;0;0;0;0
interino;0;0;0;0;0;0;0;0
acción;0;0;0;0;0;0;0;0
procesable;1;0;1;0;0;0;0;0
activo;0;0;0;0;0;0;0;0
actividad;0;0;0;0;0;0;0;0
actor;0;0;0;0;0;0;0;0
real;0;0;0;0;0;0;0;0
realidad;0;0;0;0;0;0;0;0
actuario;0;0;0;0;0;0;0;0
agudeza;0;0;0;0;0;0;0;0
perspicacia;0;0;0;0;0;0;0;0
acupuntura;0;0;0;0;0;0;0;0
extremadamente;0;0;0;0;0;0;0;0
adagio;0;0;0;0;0;0;0;0
firme;0;0;0;0;0;0;0;0
adaptar;0;0;0;0;0;0;0;0
adaptable;0;0;0;0;0;0;0;0
añadir;0;0;0;0;0;0;0;0
