,Palabras,frecuencia,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,enfado,anticipacion,asco,miedo,alegria,tristeza,sorpresa,confianza
0,gobierno,349,0,0,0,1,0,0,0,0,0,0,0,349,0,0,0,0
1,gobierno,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,democracia,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,libertad,201,0,0,0,0,1,0,0,1,0,0,0,0,201,0,0,201
4,libertad,201,0,1,0,0,1,0,1,1,0,201,0,0,201,0,201,201
5,igualdad,166,0,0,0,0,1,0,0,1,0,0,0,0,166,0,0,166
6,igualdad,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,igualdad,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ley,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,140
9,futuro,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,futuro,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,presidente,135,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,135
12,presidente,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,presidente,135,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,135
14,congreso,129,0,0,1,0,0,0,0,1,0,0,129,0,0,0,0,129
15,proyecto,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,justicia,120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,120
17,cambio,102,0,0,0,1,0,0,0,0,0,0,0,102,0,0,0,0
18,cambio,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,separatista,101,1,0,1,0,0,0,0,0,101,0,101,0,0,0,0,0
20,golpe,98,1,0,0,0,0,0,1,0,98,0,0,0,0,0,98,0
21,golpe,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,golpe,98,1,0,0,1,0,0,1,0,98,0,0,98,0,0,98,0
23,nacional,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,nacional,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,frente,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,frente,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,frente,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,defender,89,0,0,0,1,0,0,0,0,0,0,0,89,0,0,0,0
29,entrevista,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,pueblo,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
